,0,1,Month,Actual year,index1,Date,All property types,City
1463,October,2016,October,2016,1463,Oct-16,"£198,936",southampton
1464,November,2016,November,2016,1464,Nov-16,"£198,931",southampton
1465,December,2016,December,2016,1465,Dec-16,"£200,826",southampton
1466,January,2017,January,2017,1466,Jan-17,"£199,002",southampton
1467,February,2017,February,2017,1467,Feb-17,"£199,584",southampton
1468,March,2017,March,2017,1468,Mar-17,"£198,900",southampton
1469,April,2017,April,2017,1469,Apr-17,"£201,383",southampton
1470,May,2017,May,2017,1470,May-17,"£201,260",southampton
1471,June,2017,June,2017,1471,Jun-17,"£204,357",southampton
1472,July,2017,July,2017,1472,Jul-17,"£205,687",southampton
1473,August,2017,August,2017,1473,Aug-17,"£209,854",southampton
1474,September,2017,September,2017,1474,Sep-17,"£210,057",southampton
1475,October,2017,October,2017,1475,Oct-17,"£211,556",southampton
1476,November,2017,November,2017,1476,Nov-17,"£209,631",southampton
1477,December,2017,December,2017,1477,Dec-17,"£208,758",southampton
1478,January,2018,January,2018,1478,Jan-18,"£209,160",southampton
1479,February,2018,February,2018,1479,Feb-18,"£209,056",southampton
1480,March,2018,March,2018,1480,Mar-18,"£208,982",southampton
1481,April,2018,April,2018,1481,Apr-18,"£207,426",southampton
1482,May,2018,May,2018,1482,May-18,"£208,119",southampton
1483,June,2018,June,2018,1483,Jun-18,"£208,738",southampton
1484,July,2018,July,2018,1484,Jul-18,"£209,777",southampton
1485,August,2018,August,2018,1485,Aug-18,"£210,940",southampton
1486,September,2018,September,2018,1486,Sep-18,"£211,935",southampton
1487,October,2018,October,2018,1487,Oct-18,"£211,515",southampton
1488,November,2018,November,2018,1488,Nov-18,"£211,602",southampton
1489,December,2018,December,2018,1489,Dec-18,"£211,996",southampton
1490,January,2019,January,2019,1490,Jan-19,"£212,922",southampton
1491,February,2019,February,2019,1491,Feb-19,"£209,945",southampton
1492,March,2019,March,2019,1492,Mar-19,"£208,053",southampton
1493,April,2019,April,2019,1493,Apr-19,"£206,688",southampton
1494,May,2019,May,2019,1494,May-19,"£206,627",southampton
1495,June,2019,June,2019,1495,Jun-19,"£204,777",southampton
1496,July,2019,July,2019,1496,Jul-19,"£205,468",southampton
1497,August,2019,August,2019,1497,Aug-19,"£207,395",southampton
1498,September,2019,September,2019,1498,Sep-19,"£210,457",southampton
1499,October,2019,October,2019,1499,Oct-19,"£209,445",southampton
1500,November,2019,November,2019,1500,Nov-19,"£208,269",southampton
1501,December,2019,December,2019,1501,Dec-19,"£208,103",southampton
1502,January,2020,January,2020,1502,Jan-20,"£207,979",southampton
1503,February,2020,February,2020,1503,Feb-20,"£207,362",southampton
1504,March,2020,March,2020,1504,Mar-20,"£207,397",southampton
1505,April,2020,April,2020,1505,Apr-20,"£209,864",southampton
1506,May,2020,May,2020,1506,May-20,"£211,895",southampton
1507,June,2020,June,2020,1507,Jun-20,"£213,919",southampton
1508,July,2020,July,2020,1508,Jul-20,"£212,769",southampton
1509,August,2020,August,2020,1509,Aug-20,"£212,234",southampton
1510,September,2020,September,2020,1510,Sep-20,"£211,560",southampton
1511,October,2020,October,2020,1511,Oct-20,"£211,274",southampton
1512,November,2020,November,2020,1512,Nov-20,"£211,391",southampton
1513,December,2020,December,2020,1513,Dec-20,"£211,778",southampton
1514,January,2021,January,2021,1514,Jan-21,"£211,600",southampton
1515,February,2021,February,2021,1515,Feb-21,"£214,034",southampton
1516,March,2021,March,2021,1516,Mar-21,"£215,295",southampton
1517,April,2021,April,2021,1517,Apr-21,"£218,252",southampton
1518,May,2021,May,2021,1518,May-21,"£218,283",southampton
1519,June,2021,June,2021,1519,Jun-21,"£219,481",southampton
1520,July,2021,July,2021,1520,Jul-21,"£221,413",southampton
1521,August,2021,August,2021,1521,Aug-21,"£222,423",southampton
1522,September,2021,September,2021,1522,Sep-21,"£225,305",southampton
1523,October,2021,October,2021,1523,Oct-21,"£222,134",southampton
1524,January,2000,January,2000,1524,Jan-00,"£42,294",liverpool
1525,February,2000,February,2000,1525,Feb-00,"£41,810",liverpool
1526,March,2000,March,2000,1526,Mar-00,"£42,291",liverpool
1527,April,2000,April,2000,1527,Apr-00,"£42,990",liverpool
1528,May,2000,May,2000,1528,May-00,"£43,822",liverpool
1529,June,2000,June,2000,1529,Jun-00,"£44,179",liverpool
1530,July,2000,July,2000,1530,Jul-00,"£43,967",liverpool
1531,August,2000,August,2000,1531,Aug-00,"£43,967",liverpool
1532,September,2000,September,2000,1532,Sep-00,"£44,159",liverpool
1533,October,2000,October,2000,1533,Oct-00,"£45,115",liverpool
1534,November,2000,November,2000,1534,Nov-00,"£46,070",liverpool
1535,December,2000,December,2000,1535,Dec-00,"£47,290",liverpool
1536,January,2001,January,2001,1536,Jan-01,"£48,227",liverpool
1537,February,2001,February,2001,1537,Feb-01,"£47,683",liverpool
1538,March,2001,March,2001,1538,Mar-01,"£47,446",liverpool
1539,April,2001,April,2001,1539,Apr-01,"£46,925",liverpool
1540,May,2001,May,2001,1540,May-01,"£48,195",liverpool
1541,June,2001,June,2001,1541,Jun-01,"£48,807",liverpool
1542,July,2001,July,2001,1542,Jul-01,"£49,564",liverpool
1543,August,2001,August,2001,1543,Aug-01,"£49,831",liverpool
1544,September,2001,September,2001,1544,Sep-01,"£49,881",liverpool
1545,October,2001,October,2001,1545,Oct-01,"£49,785",liverpool
1546,November,2001,November,2001,1546,Nov-01,"£49,890",liverpool
1547,December,2001,December,2001,1547,Dec-01,"£50,411",liverpool
1548,January,2002,January,2002,1548,Jan-02,"£50,539",liverpool
1549,February,2002,February,2002,1549,Feb-02,"£50,363",liverpool
1550,March,2002,March,2002,1550,Mar-02,"£50,917",liverpool
1551,April,2002,April,2002,1551,Apr-02,"£51,379",liverpool
1552,May,2002,May,2002,1552,May-02,"£52,999",liverpool
1553,June,2002,June,2002,1553,Jun-02,"£53,144",liverpool
1554,July,2002,July,2002,1554,Jul-02,"£55,226",liverpool
1555,August,2002,August,2002,1555,Aug-02,"£54,771",liverpool
1556,September,2002,September,2002,1556,Sep-02,"£55,565",liverpool
1557,October,2002,October,2002,1557,Oct-02,"£54,502",liverpool
1558,November,2002,November,2002,1558,Nov-02,"£55,279",liverpool
1559,December,2002,December,2002,1559,Dec-02,"£56,802",liverpool
1560,January,2003,January,2003,1560,Jan-03,"£57,710",liverpool
1561,February,2003,February,2003,1561,Feb-03,"£58,046",liverpool
1562,March,2003,March,2003,1562,Mar-03,"£57,068",liverpool
1563,April,2003,April,2003,1563,Apr-03,"£58,773",liverpool
1564,May,2003,May,2003,1564,May-03,"£58,435",liverpool
1565,June,2003,June,2003,1565,Jun-03,"£60,227",liverpool
1566,July,2003,July,2003,1566,Jul-03,"£60,952",liverpool
1567,August,2003,August,2003,1567,Aug-03,"£66,155",liverpool
1568,September,2003,September,2003,1568,Sep-03,"£68,397",liverpool
1569,October,2003,October,2003,1569,Oct-03,"£70,735",liverpool
1570,November,2003,November,2003,1570,Nov-03,"£72,126",liverpool
1571,December,2003,December,2003,1571,Dec-03,"£74,950",liverpool
1572,January,2004,January,2004,1572,Jan-04,"£76,968",liverpool
1573,February,2004,February,2004,1573,Feb-04,"£79,781",liverpool
1574,March,2004,March,2004,1574,Mar-04,"£81,024",liverpool
1575,April,2004,April,2004,1575,Apr-04,"£84,727",liverpool
1576,May,2004,May,2004,1576,May-04,"£87,688",liverpool
1577,June,2004,June,2004,1577,Jun-04,"£92,333",liverpool
1578,July,2004,July,2004,1578,Jul-04,"£96,898",liverpool
1579,August,2004,August,2004,1579,Aug-04,"£99,720",liverpool
1580,September,2004,September,2004,1580,Sep-04,"£101,758",liverpool
1581,October,2004,October,2004,1581,Oct-04,"£101,977",liverpool
1582,November,2004,November,2004,1582,Nov-04,"£103,529",liverpool
1583,December,2004,December,2004,1583,Dec-04,"£105,591",liverpool
1584,January,2005,January,2005,1584,Jan-05,"£104,866",liverpool
1585,February,2005,February,2005,1585,Feb-05,"£102,945",liverpool
1586,March,2005,March,2005,1586,Mar-05,"£102,683",liverpool
1587,April,2005,April,2005,1587,Apr-05,"£103,801",liverpool
1588,May,2005,May,2005,1588,May-05,"£106,868",liverpool
1589,June,2005,June,2005,1589,Jun-05,"£106,517",liverpool
1590,July,2005,July,2005,1590,Jul-05,"£108,602",liverpool
1591,August,2005,August,2005,1591,Aug-05,"£109,083",liverpool
1592,September,2005,September,2005,1592,Sep-05,"£111,456",liverpool
1593,October,2005,October,2005,1593,Oct-05,"£111,782",liverpool
1594,November,2005,November,2005,1594,Nov-05,"£113,579",liverpool
1595,December,2005,December,2005,1595,Dec-05,"£115,004",liverpool
1596,January,2006,January,2006,1596,Jan-06,"£116,245",liverpool
1597,February,2006,February,2006,1597,Feb-06,"£117,338",liverpool
1598,March,2006,March,2006,1598,Mar-06,"£115,545",liverpool
1599,April,2006,April,2006,1599,Apr-06,"£118,019",liverpool
1600,May,2006,May,2006,1600,May-06,"£118,257",liverpool
1601,June,2006,June,2006,1601,Jun-06,"£120,771",liverpool
1602,July,2006,July,2006,1602,Jul-06,"£119,677",liverpool
1603,August,2006,August,2006,1603,Aug-06,"£119,861",liverpool
1604,September,2006,September,2006,1604,Sep-06,"£119,617",liverpool
1605,October,2006,October,2006,1605,Oct-06,"£119,984",liverpool
1606,November,2006,November,2006,1606,Nov-06,"£121,616",liverpool
1607,December,2006,December,2006,1607,Dec-06,"£123,240",liverpool
1608,January,2007,January,2007,1608,Jan-07,"£124,156",liverpool
1609,February,2007,February,2007,1609,Feb-07,"£123,675",liverpool
1610,March,2007,March,2007,1610,Mar-07,"£123,377",liverpool
1611,April,2007,April,2007,1611,Apr-07,"£123,980",liverpool
1612,May,2007,May,2007,1612,May-07,"£124,440",liverpool
1613,June,2007,June,2007,1613,Jun-07,"£125,253",liverpool
1614,July,2007,July,2007,1614,Jul-07,"£127,287",liverpool
1615,August,2007,August,2007,1615,Aug-07,"£129,000",liverpool
1616,September,2007,September,2007,1616,Sep-07,"£130,249",liverpool
1617,October,2007,October,2007,1617,Oct-07,"£128,918",liverpool
1618,November,2007,November,2007,1618,Nov-07,"£128,300",liverpool
1619,December,2007,December,2007,1619,Dec-07,"£129,580",liverpool
1620,January,2008,January,2008,1620,Jan-08,"£129,125",liverpool
1621,February,2008,February,2008,1621,Feb-08,"£127,281",liverpool
1622,March,2008,March,2008,1622,Mar-08,"£123,949",liverpool
1623,April,2008,April,2008,1623,Apr-08,"£124,290",liverpool
1624,May,2008,May,2008,1624,May-08,"£123,891",liverpool
1625,June,2008,June,2008,1625,Jun-08,"£123,398",liverpool
1626,July,2008,July,2008,1626,Jul-08,"£122,503",liverpool
1627,August,2008,August,2008,1627,Aug-08,"£122,696",liverpool
1628,September,2008,September,2008,1628,Sep-08,"£122,254",liverpool
1629,October,2008,October,2008,1629,Oct-08,"£119,192",liverpool
1630,November,2008,November,2008,1630,Nov-08,"£116,431",liverpool
1631,December,2008,December,2008,1631,Dec-08,"£113,846",liverpool
1632,January,2009,January,2009,1632,Jan-09,"£112,609",liverpool
1633,February,2009,February,2009,1633,Feb-09,"£113,390",liverpool
1634,March,2009,March,2009,1634,Mar-09,"£110,139",liverpool
1635,April,2009,April,2009,1635,Apr-09,"£109,763",liverpool
1636,May,2009,May,2009,1636,May-09,"£106,826",liverpool
1637,June,2009,June,2009,1637,Jun-09,"£108,855",liverpool
1638,July,2009,July,2009,1638,Jul-09,"£110,088",liverpool
1639,August,2009,August,2009,1639,Aug-09,"£114,093",liverpool
1640,September,2009,September,2009,1640,Sep-09,"£115,995",liverpool
1641,October,2009,October,2009,1641,Oct-09,"£114,595",liverpool
1642,November,2009,November,2009,1642,Nov-09,"£113,058",liverpool
1643,December,2009,December,2009,1643,Dec-09,"£114,270",liverpool
1644,January,2010,January,2010,1644,Jan-10,"£114,246",liverpool
1645,February,2010,February,2010,1645,Feb-10,"£113,844",liverpool
1646,March,2010,March,2010,1646,Mar-10,"£111,322",liverpool
1647,April,2010,April,2010,1647,Apr-10,"£112,649",liverpool
1648,May,2010,May,2010,1648,May-10,"£112,246",liverpool
1649,June,2010,June,2010,1649,Jun-10,"£112,262",liverpool
1650,July,2010,July,2010,1650,Jul-10,"£113,298",liverpool
1651,August,2010,August,2010,1651,Aug-10,"£112,829",liverpool
1652,September,2010,September,2010,1652,Sep-10,"£115,450",liverpool
1653,October,2010,October,2010,1653,Oct-10,"£114,660",liverpool
1654,November,2010,November,2010,1654,Nov-10,"£114,590",liverpool
1655,December,2010,December,2010,1655,Dec-10,"£112,532",liverpool
1656,January,2011,January,2011,1656,Jan-11,"£111,691",liverpool
1657,February,2011,February,2011,1657,Feb-11,"£109,635",liverpool
1658,March,2011,March,2011,1658,Mar-11,"£108,217",liverpool
1659,April,2011,April,2011,1659,Apr-11,"£108,401",liverpool
1660,May,2011,May,2011,1660,May-11,"£109,010",liverpool
1661,June,2011,June,2011,1661,Jun-11,"£108,732",liverpool
1662,July,2011,July,2011,1662,Jul-11,"£107,823",liverpool
1663,August,2011,August,2011,1663,Aug-11,"£107,878",liverpool
1664,September,2011,September,2011,1664,Sep-11,"£107,895",liverpool
1665,October,2011,October,2011,1665,Oct-11,"£108,323",liverpool
1666,November,2011,November,2011,1666,Nov-11,"£109,767",liverpool
1667,December,2011,December,2011,1667,Dec-11,"£109,862",liverpool
1668,January,2012,January,2012,1668,Jan-12,"£107,290",liverpool
1669,February,2012,February,2012,1669,Feb-12,"£106,539",liverpool
1670,March,2012,March,2012,1670,Mar-12,"£106,792",liverpool
1671,April,2012,April,2012,1671,Apr-12,"£107,662",liverpool
1672,May,2012,May,2012,1672,May-12,"£106,465",liverpool
1673,June,2012,June,2012,1673,Jun-12,"£106,313",liverpool
1674,July,2012,July,2012,1674,Jul-12,"£107,543",liverpool
1675,August,2012,August,2012,1675,Aug-12,"£109,300",liverpool
1676,September,2012,September,2012,1676,Sep-12,"£108,640",liverpool
1677,October,2012,October,2012,1677,Oct-12,"£106,363",liverpool
1678,November,2012,November,2012,1678,Nov-12,"£104,495",liverpool
1679,December,2012,December,2012,1679,Dec-12,"£105,472",liverpool
1680,January,2013,January,2013,1680,Jan-13,"£105,141",liverpool
1681,February,2013,February,2013,1681,Feb-13,"£105,708",liverpool
1682,March,2013,March,2013,1682,Mar-13,"£103,705",liverpool
1683,April,2013,April,2013,1683,Apr-13,"£104,937",liverpool
1684,May,2013,May,2013,1684,May-13,"£105,835",liverpool
1685,June,2013,June,2013,1685,Jun-13,"£108,267",liverpool
1686,July,2013,July,2013,1686,Jul-13,"£107,993",liverpool
1687,August,2013,August,2013,1687,Aug-13,"£108,193",liverpool
1688,September,2013,September,2013,1688,Sep-13,"£108,909",liverpool
1689,October,2013,October,2013,1689,Oct-13,"£108,990",liverpool
1690,November,2013,November,2013,1690,Nov-13,"£107,765",liverpool
1691,December,2013,December,2013,1691,Dec-13,"£106,757",liverpool
1692,January,2014,January,2014,1692,Jan-14,"£107,450",liverpool
1693,February,2014,February,2014,1693,Feb-14,"£108,047",liverpool
1694,March,2014,March,2014,1694,Mar-14,"£108,565",liverpool
1695,April,2014,April,2014,1695,Apr-14,"£111,507",liverpool
1696,May,2014,May,2014,1696,May-14,"£112,439",liverpool
1697,June,2014,June,2014,1697,Jun-14,"£113,846",liverpool
1698,July,2014,July,2014,1698,Jul-14,"£111,530",liverpool
1699,August,2014,August,2014,1699,Aug-14,"£112,881",liverpool
1700,September,2014,September,2014,1700,Sep-14,"£113,013",liverpool
1701,October,2014,October,2014,1701,Oct-14,"£115,553",liverpool
1702,November,2014,November,2014,1702,Nov-14,"£114,826",liverpool
1703,December,2014,December,2014,1703,Dec-14,"£112,654",liverpool
1704,January,2015,January,2015,1704,Jan-15,"£111,868",liverpool
1705,February,2015,February,2015,1705,Feb-15,"£113,611",liverpool
1706,March,2015,March,2015,1706,Mar-15,"£113,861",liverpool
1707,April,2015,April,2015,1707,Apr-15,"£114,810",liverpool
1708,May,2015,May,2015,1708,May-15,"£113,628",liverpool
1709,June,2015,June,2015,1709,Jun-15,"£115,462",liverpool
1710,July,2015,July,2015,1710,Jul-15,"£116,094",liverpool
1711,August,2015,August,2015,1711,Aug-15,"£116,299",liverpool
1712,September,2015,September,2015,1712,Sep-15,"£118,275",liverpool
1713,October,2015,October,2015,1713,Oct-15,"£116,550",liverpool
1714,November,2015,November,2015,1714,Nov-15,"£118,544",liverpool
1715,December,2015,December,2015,1715,Dec-15,"£117,761",liverpool
1716,January,2016,January,2016,1716,Jan-16,"£117,072",liverpool
1717,February,2016,February,2016,1717,Feb-16,"£115,933",liverpool
1718,March,2016,March,2016,1718,Mar-16,"£114,190",liverpool
1719,April,2016,April,2016,1719,Apr-16,"£117,609",liverpool
1720,May,2016,May,2016,1720,May-16,"£118,897",liverpool
1721,June,2016,June,2016,1721,Jun-16,"£119,708",liverpool
1722,July,2016,July,2016,1722,Jul-16,"£120,614",liverpool
1723,August,2016,August,2016,1723,Aug-16,"£120,194",liverpool
1724,September,2016,September,2016,1724,Sep-16,"£120,755",liverpool
1725,October,2016,October,2016,1725,Oct-16,"£118,087",liverpool
1726,November,2016,November,2016,1726,Nov-16,"£118,923",liverpool
1727,December,2016,December,2016,1727,Dec-16,"£119,321",liverpool
1728,January,2017,January,2017,1728,Jan-17,"£120,122",liverpool
1729,February,2017,February,2017,1729,Feb-17,"£120,165",liverpool
1730,March,2017,March,2017,1730,Mar-17,"£119,282",liverpool
1731,April,2017,April,2017,1731,Apr-17,"£120,671",liverpool
1732,May,2017,May,2017,1732,May-17,"£121,191",liverpool
1733,June,2017,June,2017,1733,Jun-17,"£123,980",liverpool
1734,July,2017,July,2017,1734,Jul-17,"£127,060",liverpool
1735,August,2017,August,2017,1735,Aug-17,"£127,216",liverpool
1736,September,2017,September,2017,1736,Sep-17,"£129,597",liverpool
1737,October,2017,October,2017,1737,Oct-17,"£129,124",liverpool
1738,November,2017,November,2017,1738,Nov-17,"£129,388",liverpool
1739,December,2017,December,2017,1739,Dec-17,"£127,877",liverpool
1740,January,2018,January,2018,1740,Jan-18,"£127,594",liverpool
1741,February,2018,February,2018,1741,Feb-18,"£130,044",liverpool
1742,March,2018,March,2018,1742,Mar-18,"£126,292",liverpool
1743,April,2018,April,2018,1743,Apr-18,"£123,845",liverpool
1744,May,2018,May,2018,1744,May-18,"£124,472",liverpool
1745,June,2018,June,2018,1745,Jun-18,"£129,473",liverpool
1746,July,2018,July,2018,1746,Jul-18,"£133,087",liverpool
1747,August,2018,August,2018,1747,Aug-18,"£131,881",liverpool
1748,September,2018,September,2018,1748,Sep-18,"£134,077",liverpool
1749,October,2018,October,2018,1749,Oct-18,"£135,145",liverpool
1750,November,2018,November,2018,1750,Nov-18,"£135,846",liverpool
1751,December,2018,December,2018,1751,Dec-18,"£134,213",liverpool
1752,January,2019,January,2019,1752,Jan-19,"£133,519",liverpool
1753,February,2019,February,2019,1753,Feb-19,"£134,235",liverpool
1754,March,2019,March,2019,1754,Mar-19,"£131,590",liverpool
1755,April,2019,April,2019,1755,Apr-19,"£129,970",liverpool
1756,May,2019,May,2019,1756,May-19,"£129,193",liverpool
1757,June,2019,June,2019,1757,Jun-19,"£132,780",liverpool
1758,July,2019,July,2019,1758,Jul-19,"£135,790",liverpool
1759,August,2019,August,2019,1759,Aug-19,"£137,087",liverpool
1760,September,2019,September,2019,1760,Sep-19,"£136,481",liverpool
1761,October,2019,October,2019,1761,Oct-19,"£137,335",liverpool
1762,November,2019,November,2019,1762,Nov-19,"£133,405",liverpool
1763,December,2019,December,2019,1763,Dec-19,"£129,802",liverpool
1764,January,2020,January,2020,1764,Jan-20,"£126,046",liverpool
1765,February,2020,February,2020,1765,Feb-20,"£130,088",liverpool
1766,March,2020,March,2020,1766,Mar-20,"£132,828",liverpool
1767,April,2020,April,2020,1767,Apr-20,"£134,490",liverpool
1768,May,2020,May,2020,1768,May-20,"£133,162",liverpool
1769,June,2020,June,2020,1769,Jun-20,"£137,383",liverpool
1770,July,2020,July,2020,1770,Jul-20,"£140,187",liverpool
1771,August,2020,August,2020,1771,Aug-20,"£143,468",liverpool
1772,September,2020,September,2020,1772,Sep-20,"£143,775",liverpool
1773,October,2020,October,2020,1773,Oct-20,"£145,222",liverpool
1774,November,2020,November,2020,1774,Nov-20,"£146,060",liverpool
1775,December,2020,December,2020,1775,Dec-20,"£148,868",liverpool
1776,January,2021,January,2021,1776,Jan-21,"£152,006",liverpool
1777,February,2021,February,2021,1777,Feb-21,"£155,943",liverpool
1778,March,2021,March,2021,1778,Mar-21,"£158,834",liverpool
1779,April,2021,April,2021,1779,Apr-21,"£158,893",liverpool
1780,May,2021,May,2021,1780,May-21,"£157,635",liverpool
1781,June,2021,June,2021,1781,Jun-21,"£161,788",liverpool
1782,July,2021,July,2021,1782,Jul-21,"£159,481",liverpool
1783,August,2021,August,2021,1783,Aug-21,"£162,115",liverpool
1784,September,2021,September,2021,1784,Sep-21,"£166,245",liverpool
1785,October,2021,October,2021,1785,Oct-21,"£171,221",liverpool
1786,January,2000,January,2000,1786,Jan-00,"£57,270",newcastle-upon-tyne
1787,February,2000,February,2000,1787,Feb-00,"£57,860",newcastle-upon-tyne
1788,March,2000,March,2000,1788,Mar-00,"£57,952",newcastle-upon-tyne
1789,April,2000,April,2000,1789,Apr-00,"£58,412",newcastle-upon-tyne
1790,May,2000,May,2000,1790,May-00,"£58,763",newcastle-upon-tyne
1791,June,2000,June,2000,1791,Jun-00,"£59,297",newcastle-upon-tyne
1792,July,2000,July,2000,1792,Jul-00,"£60,437",newcastle-upon-tyne
1793,August,2000,August,2000,1793,Aug-00,"£60,885",newcastle-upon-tyne
1794,September,2000,September,2000,1794,Sep-00,"£60,766",newcastle-upon-tyne
1795,October,2000,October,2000,1795,Oct-00,"£60,070",newcastle-upon-tyne
1796,November,2000,November,2000,1796,Nov-00,"£59,625",newcastle-upon-tyne
1797,December,2000,December,2000,1797,Dec-00,"£60,479",newcastle-upon-tyne
1798,January,2001,January,2001,1798,Jan-01,"£60,816",newcastle-upon-tyne
1799,February,2001,February,2001,1799,Feb-01,"£60,235",newcastle-upon-tyne
1800,March,2001,March,2001,1800,Mar-01,"£61,114",newcastle-upon-tyne
1801,April,2001,April,2001,1801,Apr-01,"£61,992",newcastle-upon-tyne
1802,May,2001,May,2001,1802,May-01,"£64,365",newcastle-upon-tyne
1803,June,2001,June,2001,1803,Jun-01,"£64,962",newcastle-upon-tyne
1804,July,2001,July,2001,1804,Jul-01,"£66,847",newcastle-upon-tyne
1805,August,2001,August,2001,1805,Aug-01,"£69,063",newcastle-upon-tyne
1806,September,2001,September,2001,1806,Sep-01,"£68,762",newcastle-upon-tyne
1807,October,2001,October,2001,1807,Oct-01,"£68,269",newcastle-upon-tyne
1808,November,2001,November,2001,1808,Nov-01,"£66,429",newcastle-upon-tyne
1809,December,2001,December,2001,1809,Dec-01,"£71,560",newcastle-upon-tyne
1810,January,2002,January,2002,1810,Jan-02,"£72,899",newcastle-upon-tyne
1811,February,2002,February,2002,1811,Feb-02,"£75,779",newcastle-upon-tyne
1812,March,2002,March,2002,1812,Mar-02,"£74,007",newcastle-upon-tyne
1813,April,2002,April,2002,1813,Apr-02,"£75,062",newcastle-upon-tyne
1814,May,2002,May,2002,1814,May-02,"£77,068",newcastle-upon-tyne
1815,June,2002,June,2002,1815,Jun-02,"£79,604",newcastle-upon-tyne
1816,July,2002,July,2002,1816,Jul-02,"£82,769",newcastle-upon-tyne
1817,August,2002,August,2002,1817,Aug-02,"£84,493",newcastle-upon-tyne
1818,September,2002,September,2002,1818,Sep-02,"£85,950",newcastle-upon-tyne
1819,October,2002,October,2002,1819,Oct-02,"£87,637",newcastle-upon-tyne
1820,November,2002,November,2002,1820,Nov-02,"£88,654",newcastle-upon-tyne
1821,December,2002,December,2002,1821,Dec-02,"£90,705",newcastle-upon-tyne
1822,January,2003,January,2003,1822,Jan-03,"£88,597",newcastle-upon-tyne
1823,February,2003,February,2003,1823,Feb-03,"£86,970",newcastle-upon-tyne
1824,March,2003,March,2003,1824,Mar-03,"£89,464",newcastle-upon-tyne
1825,April,2003,April,2003,1825,Apr-03,"£96,074",newcastle-upon-tyne
1826,May,2003,May,2003,1826,May-03,"£102,164",newcastle-upon-tyne
1827,June,2003,June,2003,1827,Jun-03,"£103,841",newcastle-upon-tyne
1828,July,2003,July,2003,1828,Jul-03,"£105,569",newcastle-upon-tyne
1829,August,2003,August,2003,1829,Aug-03,"£109,259",newcastle-upon-tyne
1830,September,2003,September,2003,1830,Sep-03,"£112,930",newcastle-upon-tyne
1831,October,2003,October,2003,1831,Oct-03,"£114,890",newcastle-upon-tyne
1832,November,2003,November,2003,1832,Nov-03,"£115,190",newcastle-upon-tyne
1833,December,2003,December,2003,1833,Dec-03,"£118,328",newcastle-upon-tyne
1834,January,2004,January,2004,1834,Jan-04,"£121,010",newcastle-upon-tyne
1835,February,2004,February,2004,1835,Feb-04,"£121,077",newcastle-upon-tyne
1836,March,2004,March,2004,1836,Mar-04,"£120,446",newcastle-upon-tyne
1837,April,2004,April,2004,1837,Apr-04,"£122,938",newcastle-upon-tyne
1838,May,2004,May,2004,1838,May-04,"£125,745",newcastle-upon-tyne
1839,June,2004,June,2004,1839,Jun-04,"£131,471",newcastle-upon-tyne
1840,July,2004,July,2004,1840,Jul-04,"£135,006",newcastle-upon-tyne
1841,August,2004,August,2004,1841,Aug-04,"£141,916",newcastle-upon-tyne
1842,September,2004,September,2004,1842,Sep-04,"£141,513",newcastle-upon-tyne
1843,October,2004,October,2004,1843,Oct-04,"£140,999",newcastle-upon-tyne
1844,November,2004,November,2004,1844,Nov-04,"£138,128",newcastle-upon-tyne
1845,December,2004,December,2004,1845,Dec-04,"£138,850",newcastle-upon-tyne
1846,January,2005,January,2005,1846,Jan-05,"£137,358",newcastle-upon-tyne
1847,February,2005,February,2005,1847,Feb-05,"£137,034",newcastle-upon-tyne
1848,March,2005,March,2005,1848,Mar-05,"£132,115",newcastle-upon-tyne
1849,April,2005,April,2005,1849,Apr-05,"£136,638",newcastle-upon-tyne
1850,May,2005,May,2005,1850,May-05,"£137,242",newcastle-upon-tyne
1851,June,2005,June,2005,1851,Jun-05,"£142,724",newcastle-upon-tyne
1852,July,2005,July,2005,1852,Jul-05,"£140,832",newcastle-upon-tyne
1853,August,2005,August,2005,1853,Aug-05,"£145,493",newcastle-upon-tyne
1854,September,2005,September,2005,1854,Sep-05,"£142,838",newcastle-upon-tyne
1855,October,2005,October,2005,1855,Oct-05,"£142,122",newcastle-upon-tyne
1856,November,2005,November,2005,1856,Nov-05,"£140,395",newcastle-upon-tyne
1857,December,2005,December,2005,1857,Dec-05,"£142,558",newcastle-upon-tyne
1858,January,2006,January,2006,1858,Jan-06,"£144,031",newcastle-upon-tyne
1859,February,2006,February,2006,1859,Feb-06,"£142,755",newcastle-upon-tyne
1860,March,2006,March,2006,1860,Mar-06,"£145,161",newcastle-upon-tyne
1861,April,2006,April,2006,1861,Apr-06,"£146,974",newcastle-upon-tyne
1862,May,2006,May,2006,1862,May-06,"£148,769",newcastle-upon-tyne
1863,June,2006,June,2006,1863,Jun-06,"£149,774",newcastle-upon-tyne
1864,July,2006,July,2006,1864,Jul-06,"£152,222",newcastle-upon-tyne
1865,August,2006,August,2006,1865,Aug-06,"£154,309",newcastle-upon-tyne
1866,September,2006,September,2006,1866,Sep-06,"£155,905",newcastle-upon-tyne
1867,October,2006,October,2006,1867,Oct-06,"£156,330",newcastle-upon-tyne
1868,November,2006,November,2006,1868,Nov-06,"£157,635",newcastle-upon-tyne
1869,December,2006,December,2006,1869,Dec-06,"£158,933",newcastle-upon-tyne
1870,January,2007,January,2007,1870,Jan-07,"£160,556",newcastle-upon-tyne
1871,February,2007,February,2007,1871,Feb-07,"£159,986",newcastle-upon-tyne
