Borough,Major Category,0
Lambeth,Robbery,2
Lambeth,Sexual Offences,2
Lambeth,Theft and Handling,8
Lambeth,Violence Against the Person,8
Lewisham,Burglary,2
Lewisham,Criminal Damage,4
Lewisham,Drugs,3
Lewisham,Fraud or Forgery,2
Lewisham,Other Notifiable Offences,2
Lewisham,Robbery,2
Lewisham,Sexual Offences,2
Lewisham,Theft and Handling,8
Lewisham,Violence Against the Person,8
Merton,Burglary,2
Merton,Criminal Damage,4
Merton,Drugs,3
Merton,Fraud or Forgery,2
Merton,Other Notifiable Offences,2
Merton,Robbery,2
Merton,Sexual Offences,2
Merton,Theft and Handling,8
Merton,Violence Against the Person,8
Newham,Burglary,2
Newham,Criminal Damage,4
Newham,Drugs,3
Newham,Fraud or Forgery,2
Newham,Other Notifiable Offences,2
Newham,Robbery,2
Newham,Sexual Offences,2
Newham,Theft and Handling,8
Newham,Violence Against the Person,8
Redbridge,Burglary,2
Redbridge,Criminal Damage,4
Redbridge,Drugs,3
Redbridge,Fraud or Forgery,2
Redbridge,Other Notifiable Offences,2
Redbridge,Robbery,2
Redbridge,Sexual Offences,2
Redbridge,Theft and Handling,8
Redbridge,Violence Against the Person,8
Richmond upon Thames,Burglary,2
Richmond upon Thames,Criminal Damage,4
Richmond upon Thames,Drugs,3
Richmond upon Thames,Fraud or Forgery,2
Richmond upon Thames,Other Notifiable Offences,2
Richmond upon Thames,Robbery,2
Richmond upon Thames,Sexual Offences,2
Richmond upon Thames,Theft and Handling,8
Richmond upon Thames,Violence Against the Person,8
Southwark,Burglary,2
Southwark,Criminal Damage,4
Southwark,Drugs,3
Southwark,Fraud or Forgery,2
Southwark,Other Notifiable Offences,2
Southwark,Robbery,2
Southwark,Sexual Offences,2
Southwark,Theft and Handling,8
Southwark,Violence Against the Person,8
Sutton,Burglary,2
Sutton,Criminal Damage,4
Sutton,Drugs,3
Sutton,Fraud or Forgery,2
Sutton,Other Notifiable Offences,2
Sutton,Robbery,2
Sutton,Sexual Offences,2
Sutton,Theft and Handling,8
Sutton,Violence Against the Person,8
Tower Hamlets,Burglary,2
Tower Hamlets,Criminal Damage,4
Tower Hamlets,Drugs,3
Tower Hamlets,Fraud or Forgery,2
Tower Hamlets,Other Notifiable Offences,2
Tower Hamlets,Robbery,2
Tower Hamlets,Sexual Offences,2
Tower Hamlets,Theft and Handling,8
Tower Hamlets,Violence Against the Person,8
Waltham Forest,Burglary,2
Waltham Forest,Criminal Damage,4
Waltham Forest,Drugs,3
Waltham Forest,Fraud or Forgery,2
Waltham Forest,Other Notifiable Offences,2
Waltham Forest,Robbery,2
Waltham Forest,Sexual Offences,2
Waltham Forest,Theft and Handling,8
Waltham Forest,Violence Against the Person,8
Wandsworth,Burglary,2
Wandsworth,Criminal Damage,4
Wandsworth,Drugs,3
Wandsworth,Fraud or Forgery,2
Wandsworth,Other Notifiable Offences,2
Wandsworth,Robbery,2
Wandsworth,Sexual Offences,2
Wandsworth,Theft and Handling,8
Wandsworth,Violence Against the Person,8
Westminster,Burglary,2
Westminster,Criminal Damage,4
Westminster,Drugs,3
Westminster,Fraud or Forgery,2
Westminster,Other Notifiable Offences,2
Westminster,Robbery,2
Westminster,Sexual Offences,2
Westminster,Theft and Handling,8
Westminster,Violence Against the Person,8
